Servicio,Modelo,Año,Versión,Pestaña,Categoría,Características ,Url_Cta,Url Imagen
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Localización en tiempo real,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3840"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Activación de bocina,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3841"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Geocercas,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3842"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Ubicación del Vehículo,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3843"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Sígueme,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3844"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Navegación,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3845"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Notificaciones,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3846"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Histórico de Rutas,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3847"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Asistencia de Vehículo Robado ,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3848"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Alerta de Movimiento,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3849"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Alerta de Velocidad,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3850"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Conexión a Asistencia Vial Nissan,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3851"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Asistencia NissanConnect® Finder,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3852"
CONNECT FINDER,Pathfinder,2021,Sense,Servicios,WiFi HotSpot,Liga a Página de Citas de Mantenimiento Vehicular,,"https://ms-prd-nna.use.mediaserver.heliosnissan.net/iris/iris?vehicle=8_R53&resp=png&bkgnd=transparent&pov=E01&w=5781&h=5370&x=1719&y=1481&height=250&width=660&paint=YBK&fabric=G&brand=nisnna&sa=1_T,2_LJ,4_A,5_L,6_E,7_2,11_D,12_7,13_8,16_A,17_D,SHADOW_ON,PI_ON,PE_ON,2026&imwidth=3853"
